WARNING 2025-10-05 11:27:42,712 basehttp "GET /api/accounts/auth/login/ HTTP/1.1" 405 40
WARNING 2025-10-05 11:29:02,621 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:29:02,622 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 45
INFO 2025-10-05 11:29:49,163 basehttp "GET /api/accounts/auth/me/ HTTP/1.1" 200 181
INFO 2025-10-05 11:30:09,462 basehttp "GET /api/accounts/profile/ HTTP/1.1" 200 181
INFO 2025-10-05 11:30:20,211 basehttp "GET /api/accounts/users/ HTTP/1.1" 200 469
WARNING 2025-10-05 11:30:36,457 log Forbidden: /api/accounts/users/
WARNING 2025-10-05 11:30:36,458 basehttp "POST /api/accounts/users/ HTTP/1.1" 403 45
INFO 2025-10-05 11:39:53,773 basehttp "GET /admin/ HTTP/1.1" 200 4561
WARNING 2025-10-05 11:40:37,742 log Unauthorized: /api/accounts/auth/me/
WARNING 2025-10-05 11:40:37,745 basehttp "GET /api/accounts/auth/me/ HTTP/1.1" 401 59
INFO 2025-10-05 11:40:52,835 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 200 149
INFO 2025-10-05 11:40:58,261 basehttp "GET /api/accounts/auth/me/ HTTP/1.1" 200 181
INFO 2025-10-05 11:41:06,109 basehttp "GET /api/accounts/users/ HTTP/1.1" 200 469
INFO 2025-10-05 11:41:16,898 basehttp "POST /api/accounts/users/ HTTP/1.1" 201 159
INFO 2025-10-05 11:41:22,276 basehttp "GET /api/accounts/users/ HTTP/1.1" 200 628
INFO 2025-10-05 11:42:28,151 basehttp "GET /api/accounts/users/1/ HTTP/1.1" 200 326
INFO 2025-10-05 11:42:51,343 basehttp "POST /api/accounts/auth/logout/ HTTP/1.1" 200 38
INFO 2025-10-05 11:43:04,587 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 200 147
